#userId,itemId
1,27
1,19
1,42
1,40
1,7
2,32
3,23
3,31
3,21
3,24
3,19
3,29
4,34
5,26
6,33
7,46
7,49
7,29
7,41
7,30
8,45
8,6
8,10
8,26
8,6
8,28
8,48
8,2
8,3
9,1
9,1
9,46
9,3
9,27
9,7
9,16
10,33
10,48
11,6
11,12
11,38
11,44
11,39
12,26
12,24
12,23
12,23
12,46
12,44
12,11
13,27
14,45
14,38
14,34
15,9
15,9
15,20
15,6
16,17
16,46
17,26
17,37
18,9
18,39
18,1
18,42
18,15
18,1
18,42
18,19
19,19
19,10
19,39
20,10
20,5
20,41
20,36
20,21
20,28
20,14
21,35
21,28
21,31
21,3
21,11
21,44
21,19
21,38
22,9
22,3
23,24
23,47
23,38
23,43
23,35
23,31
23,49
23,12
23,22
24,49
24,12
24,30
24,33
24,18
25,40
25,29
25,37
25,16
25,6
25,46
25,22
25,45
25,42
26,27
26,36
26,10
27,47
27,8
27,41
27,42
28,26
28,35
28,36
28,3
28,3
28,37
28,16
29,9
29,47
29,14
30,38
30,16
31,21
31,33
31,44
31,3
31,30
31,46
31,7
31,6
31,30
32,5
32,49
32,20
32,5
32,23
32,42
33,38
33,44
33,47
33,7
33,18
34,44
34,8
34,1
34,4
34,31
34,17
34,6
34,25
34,4
35,39
36,34
36,46
36,32
36,31
36,7
36,5
37,31
38,42
38,37
38,14
38,6
38,41
38,43
39,17
39,47
39,21
39,26
39,41
39,2
40,41
40,7
40,46
40,48
41,33
41,39
42,7
43,20
43,26
43,45
43,20
43,32
43,1
43,32
43,7
43,39
44,45
44,7
44,1
44,33
44,29
44,13
44,37
44,9
45,46
45,25
45,31
45,47
45,40
45,40
45,14
45,3
46,48
46,20
46,15
46,22
46,4
46,19
46,14
46,22
47,40
47,25
48,48
48,40
48,20
48,18
48,27
48,9
48,22
49,1
49,39
49,26
49,33
49,10
50,20
51,16
51,25
51,13
51,11
51,26
51,10
51,35
51,36
51,21
52,17
52,30
52,24
53,1
53,40
53,1
53,24
53,47
53,41
53,10
53,20
53,3
54,21
54,11
54,46
54,22
54,25
54,47
55,20
55,38
55,12
55,38
56,48
56,27
56,4
56,37
56,30
57,29
57,12
57,11
57,11
57,7
57,28
57,16
57,8
57,2
58,36
58,33
58,17
58,23
58,23
58,3
58,2
58,39
59,5
60,18
60,26
60,5
60,23
60,3
60,35
60,49
60,37
60,44
61,29
62,18
62,5
62,16
62,23
62,24
62,45
63,16
63,13
63,48
63,16
63,6
63,30
63,30
64,49
64,25
64,9
64,7
64,9
64,46
64,12
64,49
64,11
65,23
65,48
65,49
65,15
65,33
65,33
65,27
65,45
65,46
66,21
66,17
66,28
66,2
66,2
66,43
66,43
67,29
67,33
68,1
68,4
68,24
68,48
68,32
68,29
69,38
69,28
69,48
70,15
70,23
70,22
70,18
70,43
70,23
70,27
70,28
71,42
71,34
71,3
71,36
71,34
71,44
71,30
71,47
71,12
72,24
72,10
72,5
72,3
73,2
73,3
73,37
73,12
73,43
74,30
74,9
74,9
74,8
74,42
75,3
75,10
75,27
75,26
75,23
75,6
75,45
75,26
75,9
76,34
76,10
76,34
76,26
76,18
76,35
77,12
78,25
78,46
79,33
79,40
79,14
79,1
79,41
79,42
79,27
79,36
80,9
80,31
81,9
81,14
81,49
81,17
81,44
81,5
81,27
82,19
82,36
82,48
82,21
83,30
83,7
84,32
84,44
84,11
84,30
84,44
84,13
84,12
84,20
85,3
85,27
85,40
85,36
86,40
86,44
86,24
86,5
86,25
86,2
87,15
88,33
89,10
89,5
89,46
90,42
90,34
90,3
90,45
91,3
91,22
91,7
91,35
92,15
92,3
93,20
93,42
93,23
93,21
93,25
94,1
94,39
94,7
94,13
94,41
94,25
95,31
96,3
96,41
96,45
96,12
96,12
96,47
97,27
97,8
97,3
97,5
97,26
97,21
97,36
97,18
97,22
98,1
98,48
98,48
99,18
99,5
99,44
99,43
99,40
99,23
99,39
99,32
100,33
100,21
100,10
100,41
100,15
100,19
100,32

